"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Channels","VCC Min (V)","VCC Max (V)","tpd Max (ns)","IO Max (mA)","Package Type"
"on","标准逻辑---正反器","74LVC374","74LVC374ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC374ADTR2G","http://www.onsemi.com/pub/Collateral/74LVC374A-D.PDF","Low Voltage CMOS Octal D Flip-Flop","Pb-free
Halide free","ActiveNEW","Low Voltage CMOS Octal D Flip-Flop","D-Type","8","1.2","3.6","9","24","TSSOP-20"
"on","标准逻辑---正反器","MC14013B","MC14013BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14013BDG","http://www.onsemi.com/pub/Collateral/MC14013B-D.PDF","Dual D Flip-Flop","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Dual D Flip-Flop","D-Type","2","3","18","150","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---正反器","MC14013B","MC14013BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14013BDR2G","http://www.onsemi.com/pub/Collateral/MC14013B-D.PDF","Dual D Flip-Flop","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Dual D Flip-Flop","D-Type","2","3","18","150","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---正反器","MC14013B","MC14013BDTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14013BDTR2G","http://www.onsemi.com/pub/Collateral/MC14013B-D.PDF","Dual D Flip-Flop","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Dual D Flip-Flop","D-Type","2","3","18","150","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---正反器","MC14013B","NLV14013BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14013BDG","http://www.onsemi.com/pub/Collateral/MC14013B-D.PDF","Dual D Flip-Flop","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Dual D Flip-Flop","D-Type","2","3","18","150","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---正反器","MC14013B","NLV14013BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14013BDR2G","http://www.onsemi.com/pub/Collateral/MC14013B-D.PDF","Dual D Flip-Flop","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Dual D Flip-Flop","D-Type","2","3","18","150","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---正反器","MC14013B","NLV14013BDTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14013BDTR2G","http://www.onsemi.com/pub/Collateral/MC14013B-D.PDF","Dual D Flip-Flop","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Dual D Flip-Flop","D-Type","2","3","18","150","2.25","SOIC-14
TSSOP-14"
"on","标准逻辑---正反器","MC14174B","MC14174BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14174BDR2G","http://www.onsemi.com/pub/Collateral/MC14174B-D.PDF","Hex D-Type Flip-Flop","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Hex D-Type Flip-Flop","D-Type","6","3","18","160","2.25","SOIC-16"
"on","标准逻辑---正反器","MC14174B","NLV14174BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14174BDR2G","http://www.onsemi.com/pub/Collateral/MC14174B-D.PDF","Hex D-Type Flip-Flop","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Hex D-Type Flip-Flop","D-Type","6","3","18","160","2.25","SOIC-16"
"on","标准逻辑---正反器","MC74AC273","MC74AC273DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC273DTR2G","http://www.onsemi.com/pub/Collateral/MC74AC273-D.PDF","Octal D  Flip-Flop","Pb-free
Halide free","Active","Octal D  Flip-Flop","D-Type","8","2","6","10","24","SOIC-20W
TSSOP-20"
"on","标准逻辑---正反器","MC74AC273","MC74AC273DWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC273DWG","http://www.onsemi.com/pub/Collateral/MC74AC273-D.PDF","Octal D  Flip-Flop","Pb-free
Halide free","Active","Octal D  Flip-Flop","D-Type","8","2","6","10","24","SOIC-20W
TSSOP-20"
"on","标准逻辑---正反器","MC74AC273","MC74AC273DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC273DWR2G","http://www.onsemi.com/pub/Collateral/MC74AC273-D.PDF","Octal D  Flip-Flop","Pb-free
Halide free","Active","Octal D  Flip-Flop","D-Type","8","2","6","10","24","SOIC-20W
TSSOP-20"
"on","标准逻辑---正反器","MC74AC377","MC74AC377DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC377DTG","http://www.onsemi.com/pub/Collateral/MC74AC377-D.PDF","Octal D Flip-Flop with Clock Enable","Pb-free
Halide free","Active","Octal D Flip-Flop with Clock Enable","D-Type","8","2","6","10","24","SOIC-20W
TSSOP-20"
"on","标准逻辑---正反器","MC74AC377","MC74AC377DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC377DTR2G","http://www.onsemi.com/pub/Collateral/MC74AC377-D.PDF","Octal D Flip-Flop with Clock Enable","Pb-free
Halide free","Active","Octal D Flip-Flop with Clock Enable","D-Type","8","2","6","10","24","SOIC-20W
TSSOP-20"
"on","标准逻辑---正反器","MC74AC377","MC74AC377DWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC377DWG","http://www.onsemi.com/pub/Collateral/MC74AC377-D.PDF","Octal D Flip-Flop with Clock Enable","Pb-free
Halide free","Active","Octal D Flip-Flop with Clock Enable","D-Type","8","2","6","10","24","SOIC-20W
TSSOP-20"
"on","标准逻辑---正反器","MC74AC377","MC74AC377DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC377DWR2G","http://www.onsemi.com/pub/Collateral/MC74AC377-D.PDF","Octal D Flip-Flop with Clock Enable","Pb-free
Halide free","Active","Octal D Flip-Flop with Clock Enable","D-Type","8","2","6","10","24","SOIC-20W
TSSOP-20"
"on","标准逻辑---正反器","MC74AC74","MC74AC74DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC74DG","http://www.onsemi.com/pub/Collateral/MC74AC74-D.PDF","Dual D Flip-Flop Positive Edge Trigger","Pb-free
Halide free","Active","Dual D Flip-Flop Positive Edge Trigger","D-Type","2","2","6","9.5","24","SOIC-14
TSSOP-14"
"on","标准逻辑---正反器","MC74AC74","MC74AC74DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC74DR2G","http://www.onsemi.com/pub/Collateral/MC74AC74-D.PDF","Dual D Flip-Flop Positive Edge Trigger","Pb-free
Halide free","Active","Dual D Flip-Flop Positive Edge Trigger","D-Type","2","2","6","9.5","24","SOIC-14
TSSOP-14"
"on","标准逻辑---正反器","MC74AC74","MC74AC74DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC74DTR2G","http://www.onsemi.com/pub/Collateral/MC74AC74-D.PDF","Dual D Flip-Flop Positive Edge Trigger","Pb-free
Halide free","Active","Dual D Flip-Flop Positive Edge Trigger","D-Type","2","2","6","9.5","24","SOIC-14
TSSOP-14"
