"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channels","Output","VCC Min (V)","VCC Max (V)","tpd Max (ns)","IO Max (mA)","Package Type"
"on","标准逻辑---缓冲器","74LVC06","74LVC06ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC06ADR2G","http://www.onsemi.com/pub/Collateral/74LVC06A-D.PDF","Low Voltage CMOS Hex Inverter with Open Drain Outputs and 5V-Tolerant I/Os","Pb-free
Halide free","ActiveNEW","Low Voltage CMOS Hex Inverter with Open Drain Outputs and 5V-Tolerant I/Os","6","Open Drain","1.2","5.5","5","32","SOIC-14
TSSOP-14"
"on","标准逻辑---缓冲器","74LVC06","74LVC06ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC06ADTR2G","http://www.onsemi.com/pub/Collateral/74LVC06A-D.PDF","Low Voltage CMOS Hex Inverter with Open Drain Outputs and 5V-Tolerant I/Os","Pb-free
Halide free","ActiveNEW","Low Voltage CMOS Hex Inverter with Open Drain Outputs and 5V-Tolerant I/Os","6","Open Drain","1.2","5.5","5","32","SOIC-14
TSSOP-14"
"on","标准逻辑---缓冲器","74LVC125","74LVC125ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC125ADR2G","http://www.onsemi.com/pub/Collateral/74LVC125A-D.PDF","Low Voltage Quad Non-Inverting Buffer, 3-State","Pb-free
Halide free","ActiveNEW","Low Voltage Quad Non-Inverting Buffer, 3-State","4","3-State","1.2","3.6","6","24","SOIC-14
TSSOP-14"
"on","标准逻辑---缓冲器","74LVC125","74LVC125ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC125ADTR2G","http://www.onsemi.com/pub/Collateral/74LVC125A-D.PDF","Low Voltage Quad Non-Inverting Buffer, 3-State","Pb-free
Halide free","ActiveNEW","Low Voltage Quad Non-Inverting Buffer, 3-State","4","3-State","1.2","3.6","6","24","SOIC-14
TSSOP-14"
"on","标准逻辑---缓冲器","74LVC240","74LVC240ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC240ADTR2G","http://www.onsemi.com/pub/Collateral/74LVC240A-D.PDF","Low Voltage Octal Inverting Buffer, 3-State","Pb-free
Halide free","ActiveNEW","Low Voltage Octal Inverting Buffer, 3-State","8","3-State","1.2","3.6","7","24","SOIC-20W
TSSOP-20"
"on","标准逻辑---缓冲器","74LVC240","74LVC240ADWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC240ADWR2G","http://www.onsemi.com/pub/Collateral/74LVC240A-D.PDF","Low Voltage Octal Inverting Buffer, 3-State","Pb-free
Halide free","ActiveNEW","Low Voltage Octal Inverting Buffer, 3-State","8","3-State","1.2","3.6","7","24","SOIC-20W
TSSOP-20"
"on","标准逻辑---缓冲器","74LVC540","74LVC540ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC540ADTR2G","http://www.onsemi.com/pub/Collateral/74LVC540A-D.PDF","Low Voltage CMOS Octal Buffer Flow Through Pinout","Pb-free
Halide free","ActiveNEW","Low Voltage CMOS Octal Buffer Flow Through Pinout","8","3-State","1.2","3.6","5.3","24","SOIC-20W
TSSOP-20"
"on","标准逻辑---缓冲器","74LVC540","74LVC540ADWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC540ADWR2G","http://www.onsemi.com/pub/Collateral/74LVC540A-D.PDF","Low Voltage CMOS Octal Buffer Flow Through Pinout","Pb-free
Halide free","ActiveNEW","Low Voltage CMOS Octal Buffer Flow Through Pinout","8","3-State","1.2","3.6","5.3","24","SOIC-20W
TSSOP-20"
"on","标准逻辑---缓冲器","MC14049B","MC14049BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14049BDG","http://www.onsemi.com/pub/Collateral/MC14049B-D.PDF","Hex Inverter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Hex Inverter","6","CMOS","3","18","80","16","SOIC-16"
"on","标准逻辑---缓冲器","MC14049B","MC14049BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14049BDR2G","http://www.onsemi.com/pub/Collateral/MC14049B-D.PDF","Hex Inverter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Hex Inverter","6","CMOS","3","18","80","16","SOIC-16"
"on","标准逻辑---缓冲器","MC14049B","NLV14049BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14049BDR2G","http://www.onsemi.com/pub/Collateral/MC14049B-D.PDF","Hex Inverter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Hex Inverter","6","CMOS","3","18","80","16","SOIC-16"
"on","标准逻辑---缓冲器","MC14050B","MC14050BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14050BDG","http://www.onsemi.com/pub/Collateral/MC14049B-D.PDF","Hex Buffer","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Hex Buffer","6","CMOS","3","18","80","16","SOIC-16
TSSOP-16"
"on","标准逻辑---缓冲器","MC14050B","MC14050BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14050BDR2G","http://www.onsemi.com/pub/Collateral/MC14049B-D.PDF","Hex Buffer","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Hex Buffer","6","CMOS","3","18","80","16","SOIC-16
TSSOP-16"
"on","标准逻辑---缓冲器","MC14050B","MC14050BDTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14050BDTG","http://www.onsemi.com/pub/Collateral/MC14049B-D.PDF","Hex Buffer","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Hex Buffer","6","CMOS","3","18","80","16","SOIC-16
TSSOP-16"
"on","标准逻辑---缓冲器","MC14050B","MC14050BDTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14050BDTR2G","http://www.onsemi.com/pub/Collateral/MC14049B-D.PDF","Hex Buffer","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Hex Buffer","6","CMOS","3","18","80","16","SOIC-16
TSSOP-16"
"on","标准逻辑---缓冲器","MC14050B","NLV14050BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14050BDG","http://www.onsemi.com/pub/Collateral/MC14049B-D.PDF","Hex Buffer","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Hex Buffer","6","CMOS","3","18","80","16","SOIC-16
TSSOP-16"
"on","标准逻辑---缓冲器","MC14050B","NLV14050BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14050BDR2G","http://www.onsemi.com/pub/Collateral/MC14049B-D.PDF","Hex Buffer","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Hex Buffer","6","CMOS","3","18","80","16","SOIC-16
TSSOP-16"
"on","标准逻辑---缓冲器","MC14050B","NLV14050BDTG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14050BDTG","http://www.onsemi.com/pub/Collateral/MC14049B-D.PDF","Hex Buffer","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Hex Buffer","6","CMOS","3","18","80","16","SOIC-16
TSSOP-16"
"on","标准逻辑---缓冲器","MC14572UB","MC14572UBDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14572UBDG","http://www.onsemi.com/pub/Collateral/MC14572UB-D.PDF","Hex Gate; 4 Inverters; 1 NOR; 1 NAND","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Hex Gate; 4 Inverters; 1 NOR; 1 NAND","6","CMOS","3","18","100","2.25","SOIC-16"
"on","标准逻辑---缓冲器","MC14572UB","MC14572UBDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14572UBDR2G","http://www.onsemi.com/pub/Collateral/MC14572UB-D.PDF","Hex Gate; 4 Inverters; 1 NOR; 1 NAND","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Hex Gate; 4 Inverters; 1 NOR; 1 NAND","6","CMOS","3","18","100","2.25","SOIC-16"
"on","标准逻辑---缓冲器","MC14572UB","NLV14572UBDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14572UBDR2G","http://www.onsemi.com/pub/Collateral/MC14572UB-D.PDF","Hex Gate; 4 Inverters; 1 NOR; 1 NAND","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Hex Gate; 4 Inverters; 1 NOR; 1 NAND","6","CMOS","3","18","100","2.25","SOIC-16"
"on","标准逻辑---缓冲器","MC74AC125","MC74AC125DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74AC125DG","http://www.onsemi.com/pub/Collateral/MC74AC125-D.PDF","Quad Buffer with 3-State Outputs","Pb-free
Halide free","Active","Quad Buffer with 3-State Outputs","4","3-State","2","6","7","24","SOIC-14
TSSOP-14"
