"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","VCC Min (V)","VCC Max (V)","tpd Max (ns)","PD Max (W)","IO Max (mA)","Package Type"
"on","标准逻辑---运算功能","MC14007UB","MC14007UBDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14007UBDG","http://www.onsemi.com/pub/Collateral/MC14007UB-D.PDF","Dual Complementary Pair Plus Inverter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Dual Complementary Pair Plus Inverter ","Arithmetic Logic Unit","3","18","75","0.5","2.25
2.5","SOIC-14"
"on","标准逻辑---运算功能","MC14007UB","MC14007UBDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14007UBDR2G","http://www.onsemi.com/pub/Collateral/MC14007UB-D.PDF","Dual Complementary Pair Plus Inverter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Dual Complementary Pair Plus Inverter ","Arithmetic Logic Unit","3","18","75","0.5","2.25
2.5","SOIC-14"
"on","标准逻辑---运算功能","MC14007UB","NLV14007UBDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14007UBDR2G","http://www.onsemi.com/pub/Collateral/MC14007UB-D.PDF","Dual Complementary Pair Plus Inverter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Dual Complementary Pair Plus Inverter ","Arithmetic Logic Unit","3","18","75","0.5","2.25
2.5","SOIC-14"
"on","标准逻辑---运算功能","MC14017B","MC14017BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14017BDG","http://www.onsemi.com/pub/Collateral/MC14017B-D.PDF","Decade Counter/Divider","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Decade Counter/Divider","Counter","3","18","460","0.5","2.25","SOIC-16"
"on","标准逻辑---运算功能","MC14017B","MC14017BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14017BDR2G","http://www.onsemi.com/pub/Collateral/MC14017B-D.PDF","Decade Counter/Divider","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Decade Counter/Divider","Counter","3","18","460","0.5","2.25","SOIC-16"
"on","标准逻辑---运算功能","MC14017B","NLV14017BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14017BDG","http://www.onsemi.com/pub/Collateral/MC14017B-D.PDF","Decade Counter/Divider","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Decade Counter/Divider","Counter","3","18","460","0.5","2.25","SOIC-16"
"on","标准逻辑---运算功能","MC14017B","NLV14017BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14017BDR2G","http://www.onsemi.com/pub/Collateral/MC14017B-D.PDF","Decade Counter/Divider","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Decade Counter/Divider","Counter","3","18","460","0.5","2.25","SOIC-16"
"on","标准逻辑---运算功能","MC14020B","MC14020BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14020BDG","http://www.onsemi.com/pub/Collateral/MC14020B-D.PDF","14-Bit Binary Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","14-Bit Binary Counter","Counter","3","18","1725","0.5","2.25","SOIC-16"
"on","标准逻辑---运算功能","MC14020B","MC14020BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14020BDR2G","http://www.onsemi.com/pub/Collateral/MC14020B-D.PDF","14-Bit Binary Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","14-Bit Binary Counter","Counter","3","18","1725","0.5","2.25","SOIC-16"
"on","标准逻辑---运算功能","MC14020B","NLV14020BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14020BDR2G","http://www.onsemi.com/pub/Collateral/MC14020B-D.PDF","14-Bit Binary Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","14-Bit Binary Counter","Counter","3","18","1725","0.5","2.25","SOIC-16"
"on","标准逻辑---运算功能","MC14024B","MC14024BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14024BDG","http://www.onsemi.com/pub/Collateral/MC14024B-D.PDF","7-Stage Ripple Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","7-Stage Ripple Counter","Counter","3","18","750","0.5","2.25","SOIC-14"
"on","标准逻辑---运算功能","MC14024B","MC14024BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14024BDR2G","http://www.onsemi.com/pub/Collateral/MC14024B-D.PDF","7-Stage Ripple Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","7-Stage Ripple Counter","Counter","3","18","750","0.5","2.25","SOIC-14"
"on","标准逻辑---运算功能","MC14024B","NLV14024BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14024BDG","http://www.onsemi.com/pub/Collateral/MC14024B-D.PDF","7-Stage Ripple Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","7-Stage Ripple Counter","Counter","3","18","750","0.5","2.25","SOIC-14"
"on","标准逻辑---运算功能","MC14024B","NLV14024BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14024BDR2G","http://www.onsemi.com/pub/Collateral/MC14024B-D.PDF","7-Stage Ripple Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","7-Stage Ripple Counter","Counter","3","18","750","0.5","2.25","SOIC-14"
"on","标准逻辑---运算功能","MC14040B","MC14040BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14040BDG","http://www.onsemi.com/pub/Collateral/MC14040B-D.PDF","12-Bit Binary Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","12-Bit Binary Counter","Counter","3","18","1440","0.5","2.25","SOIC-16
TSSOP-16"
