"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Channels","VCC Min (V)","VCC Max (V)","tpd Max (ns)","IO Max (mA)","Package Type"
"on","标准逻辑---锁存器和寄存器","74LVC373","74LVC373ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74LVC373ADTR2G","http://www.onsemi.com/pub/Collateral/74LVC373A-D.PDF","Low Voltage CMOS Octal Transparent Latch","Pb-free
Halide free","ActiveNEW","Low Voltage CMOS Octal Transparent Latch","Latch","8","1.2","3.6","8.5","24","TSSOP-20"
"on","标准逻辑---锁存器和寄存器","MC14014B","MC14014BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14014BDG","http://www.onsemi.com/pub/Collateral/MC14014B-D.PDF","8-Bit Static Shift Register","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","8-Bit Static Shift Register","Shift Register","1","3","18","340","2.25","SOIC-16"
"on","标准逻辑---锁存器和寄存器","MC14014B","MC14014BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14014BDR2G","http://www.onsemi.com/pub/Collateral/MC14014B-D.PDF","8-Bit Static Shift Register","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","8-Bit Static Shift Register","Shift Register","1","3","18","340","2.25","SOIC-16"
"on","标准逻辑---锁存器和寄存器","MC14014B","NLV14014BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14014BDR2G","http://www.onsemi.com/pub/Collateral/MC14014B-D.PDF","8-Bit Static Shift Register","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","8-Bit Static Shift Register","Shift Register","1","3","18","340","2.25","SOIC-16"
"on","标准逻辑---锁存器和寄存器","MC14021B","MC14021BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14021BDG","http://www.onsemi.com/pub/Collateral/MC14014B-D.PDF","8-Bit Static Shift Register","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","8-Bit Static Shift Register","Shift Register","1","3","18","340","2.25","SOIC-16"
"on","标准逻辑---锁存器和寄存器","MC14021B","MC14021BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14021BDR2G","http://www.onsemi.com/pub/Collateral/MC14014B-D.PDF","8-Bit Static Shift Register","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","8-Bit Static Shift Register","Shift Register","1","3","18","340","2.25","SOIC-16"
"on","标准逻辑---锁存器和寄存器","MC14021B","NLV14021BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14021BDR2G","http://www.onsemi.com/pub/Collateral/MC14014B-D.PDF","8-Bit Static Shift Register","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","8-Bit Static Shift Register","Shift Register","1","3","18","340","2.25","SOIC-16"
"on","标准逻辑---锁存器和寄存器","MC14043B","MC14043BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14043BDG","http://www.onsemi.com/pub/Collateral/MC14043B-D.PDF","Quad R-S Latches","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad R-S Latches","Latch","4","3","18","175","2.25","SOIC-16"
"on","标准逻辑---锁存器和寄存器","MC14043B","MC14043BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14043BDR2G","http://www.onsemi.com/pub/Collateral/MC14043B-D.PDF","Quad R-S Latches","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad R-S Latches","Latch","4","3","18","175","2.25","SOIC-16"
"on","标准逻辑---锁存器和寄存器","MC14043B","NLV14043BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14043BDG","http://www.onsemi.com/pub/Collateral/MC14043B-D.PDF","Quad R-S Latches","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Quad R-S Latches","Latch","4","3","18","175","2.25","SOIC-16"
