"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channels","Number of Switches","Configuration","Icc Max (uA)","ron Max (Ohms)","VCC Min (V)","VCC Max (V)","Package Type"
"on","模拟开关---信号开关","74FST3257","74FST3257DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74FST3257DR2G","http://www.onsemi.com/pub/Collateral/74FST3257-D.PDF","Quad 2:1 Multiplexer/Demultiplexer (Mux/Demux) Bus Switch","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Quad 2:1 Multiplexer/Demultiplexer (Mux/Demux) Bus Switch","4","4","SPDT","3","4","4","5.5","QFN-16
SOIC-16
TSSOP-16"
"on","模拟开关---信号开关","74FST3257","74FST3257DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=74FST3257DTR2G","http://www.onsemi.com/pub/Collateral/74FST3257-D.PDF","Quad 2:1 Multiplexer/Demultiplexer (Mux/Demux) Bus Switch","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Quad 2:1 Multiplexer/Demultiplexer (Mux/Demux) Bus Switch","4","4","SPDT","3","4","4","5.5","QFN-16
SOIC-16
TSSOP-16"
"on","模拟开关---信号开关","74FST3257","74FST3257MNTWG","http://www.onsemi.cn/PowerSolutions/product.do?id=74FST3257MNTWG","http://www.onsemi.com/pub/Collateral/74FST3257-D.PDF","Quad 2:1 Multiplexer/Demultiplexer (Mux/Demux) Bus Switch","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Quad 2:1 Multiplexer/Demultiplexer (Mux/Demux) Bus Switch","4","4","SPDT","3","4","4","5.5","QFN-16
SOIC-16
TSSOP-16"
"on","模拟开关---信号开关","74FST3257","NLV74FST3257DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV74FST3257DR2G","http://www.onsemi.com/pub/Collateral/74FST3257-D.PDF","Quad 2:1 Multiplexer/Demultiplexer (Mux/Demux) Bus Switch","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Quad 2:1 Multiplexer/Demultiplexer (Mux/Demux) Bus Switch","4","4","SPDT","3","4","4","5.5","QFN-16
SOIC-16
TSSOP-16"
"on","模拟开关---信号开关","7SB3126","7SB3126DFT2G","http://www.onsemi.cn/PowerSolutions/product.do?id=7SB3126DFT2G","http://www.onsemi.com/pub/Collateral/7SB3126-D.PDF","1 Bit Bus Switch","Pb-free
Halide free","Active","1 Bit Bus Switch","1","1","SPST","1","6","4","5.5","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5
UDFN-6"
"on","模拟开关---信号开关","7SB3126","7SB3126DTT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=7SB3126DTT1G","http://www.onsemi.com/pub/Collateral/7SB3126-D.PDF","1 Bit Bus Switch","Pb-free
Halide free","Active","1 Bit Bus Switch","1","1","SPST","1","6","4","5.5","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5
UDFN-6"
"on","模拟开关---信号开关","7SB3126","7SB3126MUTCG","http://www.onsemi.cn/PowerSolutions/product.do?id=7SB3126MUTCG","http://www.onsemi.com/pub/Collateral/7SB3126-D.PDF","1 Bit Bus Switch","Pb-free
Halide free","Active","1 Bit Bus Switch","1","1","SPST","1","6","4","5.5","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5
UDFN-6"
"on","模拟开关---信号开关","7SB384","7SB384DFT2G","http://www.onsemi.cn/PowerSolutions/product.do?id=7SB384DFT2G","http://www.onsemi.com/pub/Collateral/7SB384-D.PDF","1 Bit Bus Switch","Pb-free
Halide free","Active","1 Bit Bus Switch","1","1","SPST","1","6","4","5.5","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5
UDFN-6"
"on","模拟开关---信号开关","7SB384","7SB384DTT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=7SB384DTT1G","http://www.onsemi.com/pub/Collateral/7SB384-D.PDF","1 Bit Bus Switch","Pb-free
Halide free","Active","1 Bit Bus Switch","1","1","SPST","1","6","4","5.5","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5
UDFN-6"
"on","模拟开关---信号开关","7SB384","7SB384MUTCG","http://www.onsemi.cn/PowerSolutions/product.do?id=7SB384MUTCG","http://www.onsemi.com/pub/Collateral/7SB384-D.PDF","1 Bit Bus Switch","Pb-free
Halide free","Active","1 Bit Bus Switch","1","1","SPST","1","6","4","5.5","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5
UDFN-6"
"on","模拟开关---信号开关","7WB3125","7WB3125MUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=7WB3125MUTAG","http://www.onsemi.com/pub/Collateral/7WB3125-D.PDF","2 Bit Bus Switch","PPAP Capable
Pb-free","Active","2 Bit Bus Switch","2","2","SPST","1","6","4","5.5","UDFN-8"
