"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Sensor Type","Data Transmission Standard","ICC Max (mA)","VCC Min (V)","VCC Max (V)","T Min (&#0176;C)","T Max (&#0176;C)","Temperature Error (&#0176;C)","Package Type"
"on","热管理---温度传感器","ADM1021A","ADM1021AARQZ-R","http://www.onsemi.cn/PowerSolutions/product.do?id=ADM1021AARQZ-R","http://www.onsemi.com/pub/Collateral/ADM1021A-D.PDF","System Temperature Sensor","Pb-free
Halide free","Active","System Temperature Sensor","Local & Remote","SMBus","0.2","3","5.5","-55","125","±3","QSOP-16"
"on","热管理---温度传感器","ADM1032","ADM1032ARMZ-1RL","http://www.onsemi.cn/PowerSolutions/product.do?id=ADM1032ARMZ-1RL","http://www.onsemi.com/pub/Collateral/ADM1032-D.PDF","System Temperature Sensor, Remote and Local","Pb-free
Halide free","Active","System Temperature Sensor, Remote and Local","Local & Remote","SMBus","0.215","3","5.5","0","120","±1","Micro8™
SOIC-8"
"on","热管理---温度传感器","ADM1032","ADM1032ARMZ-2R","http://www.onsemi.cn/PowerSolutions/product.do?id=ADM1032ARMZ-2R","http://www.onsemi.com/pub/Collateral/ADM1032-D.PDF","System Temperature Sensor, Remote and Local","Pb-free
Halide free","Active","System Temperature Sensor, Remote and Local","Local & Remote","SMBus","0.215","3","5.5","0","120","±1","Micro8™
SOIC-8"
"on","热管理---温度传感器","ADM1032","ADM1032ARMZ-REEL","http://www.onsemi.cn/PowerSolutions/product.do?id=ADM1032ARMZ-REEL","http://www.onsemi.com/pub/Collateral/ADM1032-D.PDF","System Temperature Sensor, Remote and Local","Pb-free
Halide free","Active","System Temperature Sensor, Remote and Local","Local & Remote","SMBus","0.215","3","5.5","0","120","±1","Micro8™
SOIC-8"
"on","热管理---温度传感器","ADM1032","ADM1032ARZ-REEL","http://www.onsemi.cn/PowerSolutions/product.do?id=ADM1032ARZ-REEL","http://www.onsemi.com/pub/Collateral/ADM1032-D.PDF","System Temperature Sensor, Remote and Local","Pb-free
Halide free","Active","System Temperature Sensor, Remote and Local","Local & Remote","SMBus","0.215","3","5.5","0","120","±1","Micro8™
SOIC-8"
"on","热管理---温度传感器","ADT7461A","ADT7461AARMZ-R","http://www.onsemi.cn/PowerSolutions/product.do?id=ADT7461AARMZ-R","http://www.onsemi.com/pub/Collateral/ADT7461A-D.PDF","Temperature Sensor with Series Resistance Cancellation","Pb-free
Halide free","Active","Temperature Sensor with Series Resistance Cancellation","Local & Remote","SMBus","0.35","3","3.6","-40","125","±1","Micro8™"
"on","热管理---温度传感器","ADT7483A","ADT7483AARQZ-RL","http://www.onsemi.cn/PowerSolutions/product.do?id=ADT7483AARQZ-RL","http://www.onsemi.com/pub/Collateral/ADT7483A-D.PDF","Temperature Sensor, Over Temperature Alarm, Dual Channel","Pb-free
Halide free","Active","Temperature Sensor, Over Temperature Alarm, Dual Channel","Local & Remote","SMBus","0.35","3","3.6","-40","125","±1","QSOP-16"
"on","热管理---温度传感器","CAT34TS00","CAT34TS00VP2GT4A","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT34TS00VP2GT4A","http://www.onsemi.com/pub/Collateral/CAT34TS00-D.PDF","1.8 V Digital Temperature Sensor","Pb-free
Halide free","Active","1.8 V Digital Temperature Sensor","Local","I2C
SMBus","0.5","1.7","1.9","-20","125","±3","TDFN-8"
"on","热管理---温度传感器","CAT34TS04","CAT34TS04HU4GT4A","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT34TS04HU4GT4A","http://www.onsemi.com/pub/Collateral/CAT34TS04-D.PDF","Digital Output Temperature Sensor with On-board SPD EEPROM,  UDFN 2x3","Pb-free
Halide free","Active","Digital Output Temperature Sensor with On-board SPD EEPROM","Local","I2C","1","1.7","5.5","-20","125","±3","TDFN-8
UDFN-8"
"on","热管理---温度传感器","CAT34TS04","CAT34TS04VP2GT4A","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT34TS04VP2GT4A","http://www.onsemi.com/pub/Collateral/CAT34TS04-D.PDF","Digital Output Temperature Sensor with On-board SPD EEPROM,  TDFN 2x3","Pb-free
Halide free","Active","Digital Output Temperature Sensor with On-board SPD EEPROM","Local","I2C","1","1.7","5.5","-20","125","±3","TDFN-8
UDFN-8"
