"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Voltages Monitored","VCC Max (V)","V(TO) Typ (V)","IQ Typ (microA)","Reset Active State","Reset Timer","Manual Reset","Watchdog Timer","Package Type"
"on","电压和电流管理---电压监测器","CAT1832","CAT1832L-G","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1832L-G","http://www.onsemi.com/pub/Collateral/CAT1832-D.PDF","Voltage Supervisor, Watchdog Timer, Manual Reset, 3.3 V, with Active High and Low Resets","Pb-free
Halide free","Active","Voltage Supervisor, Watchdog Timer, Manual Reset, 3.3 V, with Active High and Low Resets","1","5.5","2.55
2.88","20","High
Low","Yes","No","Yes","MSOP-8
PDIP-8
SOIC-8"
"on","电压和电流管理---电压监测器","CAT1832","CAT1832V-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1832V-GT3","http://www.onsemi.com/pub/Collateral/CAT1832-D.PDF","Voltage Supervisor, Watchdog Timer, Manual Reset, 3.3 V, with Active High and Low Resets","Pb-free
Halide free","Active","Voltage Supervisor, Watchdog Timer, Manual Reset, 3.3 V, with Active High and Low Resets","1","5.5","2.55
2.88","20","High
Low","Yes","No","Yes","MSOP-8
PDIP-8
SOIC-8"
"on","电压和电流管理---电压监测器","CAT1832","CAT1832Z-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT1832Z-GT3","http://www.onsemi.com/pub/Collateral/CAT1832-D.PDF","Voltage Supervisor, Watchdog Timer, Manual Reset, 3.3 V, with Active High and Low Resets","Pb-free
Halide free","Active","Voltage Supervisor, Watchdog Timer, Manual Reset, 3.3 V, with Active High and Low Resets","1","5.5","2.55
2.88","20","High
Low","Yes","No","Yes","MSOP-8
PDIP-8
SOIC-8"
"on","电压和电流管理---电压监测器","CAT803","CAT803SSDI-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT803SSDI-GT3","http://www.onsemi.com/pub/Collateral/CAT803-D.PDF","Voltage Supervisor, Open Drain, Active Low","Pb-free
Halide free","Active","Voltage Supervisor, Open Drain, Active Low","1","5.5","2.93","6","Low","Yes","No","No","SC-70-3"
"on","电压和电流管理---电压监测器","CAT810","CAT810JTBI-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT810JTBI-GT3","http://www.onsemi.com/pub/Collateral/CAT810-D.PDF","Voltage Supervisor, Push-Pull, Active High","Pb-free
Halide free","Active","Voltage Supervisor, Push-Pull, Active High","1","5.5","3.08
4","6","High","Yes","No","No","SOT-23-3"
"on","电压和电流管理---电压监测器","CAT810","CAT810TTBI-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT810TTBI-GT3","http://www.onsemi.com/pub/Collateral/CAT810-D.PDF","Voltage Supervisor, Push-Pull, Active High","Pb-free
Halide free","Active","Voltage Supervisor, Push-Pull, Active High","1","5.5","3.08
4","6","High","Yes","No","No","SOT-23-3"
"on","电压和电流管理---电压监测器","CAT823","CAT823RTDI-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT823RTDI-GT3","http://www.onsemi.com/pub/Collateral/CAT823-D.PDF","Voltage Supervisor with Manual Reset and Watchdog","Pb-free
Halide free","Active","Voltage Supervisor with Manual Reset and Watchdog","1","5.5","2.19
2.32
2.63
2.93
3.08","6","Low","Yes","Yes","Yes","TSOT-23-5"
"on","电压和电流管理---电压监测器","CAT823","CAT823STDI-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT823STDI-GT3","http://www.onsemi.com/pub/Collateral/CAT823-D.PDF","Voltage Supervisor with Manual Reset and Watchdog","Pb-free
Halide free","Active","Voltage Supervisor with Manual Reset and Watchdog","1","5.5","2.19
2.32
2.63
2.93
3.08","6","Low","Yes","Yes","Yes","TSOT-23-5"
"on","电压和电流管理---电压监测器","CAT823","CAT823TTDI-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT823TTDI-GT3","http://www.onsemi.com/pub/Collateral/CAT823-D.PDF","Voltage Supervisor with Manual Reset and Watchdog","Pb-free
Halide free","Active","Voltage Supervisor with Manual Reset and Watchdog","1","5.5","2.19
2.32
2.63
2.93
3.08","6","Low","Yes","Yes","Yes","TSOT-23-5"
"on","电压和电流管理---电压监测器","CAT823","CAT823YTDI-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT823YTDI-GT3","http://www.onsemi.com/pub/Collateral/CAT823-D.PDF","Voltage Supervisor with Manual Reset and Watchdog","Pb-free
Halide free","Active","Voltage Supervisor with Manual Reset and Watchdog","1","5.5","2.19
2.32
2.63
2.93
3.08","6","Low","Yes","Yes","Yes","TSOT-23-5"
"on","电压和电流管理---电压监测器","CAT823","CAT823ZTDI-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT823ZTDI-GT3","http://www.onsemi.com/pub/Collateral/CAT823-D.PDF","Voltage Supervisor with Manual Reset and Watchdog","Pb-free
Halide free","Active","Voltage Supervisor with Manual Reset and Watchdog","1","5.5","2.19
2.32
2.63
2.93
3.08","6","Low","Yes","Yes","Yes","TSOT-23-5"
"on","电压和电流管理---电压监测器","CAT853","CAT853STBI-T3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT853STBI-T3","http://www.onsemi.com/pub/Collateral/CAT853-D.PDF","Voltage Supervisor, Open Drain, Active Low","Pb-free
Halide free","Active","Voltage Supervisor, Open Drain, Active Low","1","5.5","2.93
3.08","6","Low","Yes","No","No","SOT-23-3"
"on","电压和电流管理---电压监测器","CAT853","CAT853TTBI-GT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT853TTBI-GT3","http://www.onsemi.com/pub/Collateral/CAT853-D.PDF","Voltage Supervisor, Open Drain, Active Low","Pb-free
Halide free","Active","Voltage Supervisor, Open Drain, Active Low","1","5.5","2.93
3.08","6","Low","Yes","No","No","SOT-23-3"
"on","电压和电流管理---电压监测器","CAT874","CAT874-80ULGT3","http://www.onsemi.cn/PowerSolutions/product.do?id=CAT874-80ULGT3","http://www.onsemi.com/pub/Collateral/CAT874-D.PDF","Switch Controller","Pb-free
Halide free","Active","Switch Controller","1","5.5","-","0.1","High","Yes","Yes","No","ULLGA-6"
"on","电压和电流管理---电压监测器","MAX708","MAX708CUA-TG","http://www.onsemi.cn/PowerSolutions/product.do?id=MAX708CUA-TG","http://www.onsemi.com/pub/Collateral/MAX707-D.PDF","MicroPower Voltage Supervisor, 4.38 V","Pb-free
Halide free","Active","MicroPower Voltage Supervisor","2","5.5","2.63
2.93
3.08
4.38","12","High
Low","No","Yes","No","Micro8™
SOIC-8"
"on","电压和电流管理---电压监测器","MAX708","MAX708ESA-TG","http://www.onsemi.cn/PowerSolutions/product.do?id=MAX708ESA-TG","http://www.onsemi.com/pub/Collateral/MAX707-D.PDF","MicroPower Voltage Supervisor, 4.38 V","Pb-free
Halide free","Active","MicroPower Voltage Supervisor","2","5.5","2.63
2.93
3.08
4.38","12","High
Low","No","Yes","No","Micro8™
SOIC-8"
"on","电压和电流管理---电压监测器","MAX708","MAX708RCUA-TG","http://www.onsemi.cn/PowerSolutions/product.do?id=MAX708RCUA-TG","http://www.onsemi.com/pub/Collateral/MAX707-D.PDF","MicroPower Voltage Supervisor, 2.63 V","Pb-free
Halide free","Active","MicroPower Voltage Supervisor","2","5.5","2.63
2.93
3.08
4.38","12","High
Low","No","Yes","No","Micro8™
SOIC-8"
"on","电压和电流管理---电压监测器","MAX708","MAX708RESA-TG","http://www.onsemi.cn/PowerSolutions/product.do?id=MAX708RESA-TG","http://www.onsemi.com/pub/Collateral/MAX707-D.PDF","MicroPower Voltage Supervisor, 2.63 V","Pb-free
Halide free","Active","MicroPower Voltage Supervisor","2","5.5","2.63
2.93
3.08
4.38","12","High
Low","No","Yes","No","Micro8™
SOIC-8"
"on","电压和电流管理---电压监测器","MAX708","MAX708SCUA-TG","http://www.onsemi.cn/PowerSolutions/product.do?id=MAX708SCUA-TG","http://www.onsemi.com/pub/Collateral/MAX707-D.PDF","MicroPower Voltage Supervisor, 2.93 V","Pb-free
Halide free","Active","MicroPower Voltage Supervisor","2","5.5","2.63
2.93
3.08
4.38","12","High
Low","No","Yes","No","Micro8™
SOIC-8"
"on","电压和电流管理---电压监测器","MAX708","MAX708SESA-TG","http://www.onsemi.cn/PowerSolutions/product.do?id=MAX708SESA-TG","http://www.onsemi.com/pub/Collateral/MAX707-D.PDF","MicroPower Voltage Supervisor, 2.93 V","Pb-free
Halide free","Active","MicroPower Voltage Supervisor","2","5.5","2.63
2.93
3.08
4.38","12","High
Low","No","Yes","No","Micro8™
SOIC-8"
"on","电压和电流管理---电压监测器","MAX708","MAX708TCUA-TG","http://www.onsemi.cn/PowerSolutions/product.do?id=MAX708TCUA-TG","http://www.onsemi.com/pub/Collateral/MAX707-D.PDF","MicroPower Voltage Supervisor, 3.08 V","Pb-free
Halide free","Active","MicroPower Voltage Supervisor","2","5.5","2.63
2.93
3.08
4.38","12","High
Low","No","Yes","No","Micro8™
SOIC-8"
