"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Segments","Key Detection","VDD Min (V)","VDD Max (V)","VLCD Min (V)","VLCD Max (V)","VI for Interface (V)","Operating Temperature (°C)","Output Ports","PWM Outputs","Character Generator","Reset","Contrast Adjustment","Control Command","Package Type"
"on","音频/视频的ASSP---LCD驱动器","LC450029PKB","LC450029PKB-XT","http://www.onsemi.cn/PowerSolutions/product.do?id=LC450029PKB-XT","http://www.onsemi.com/pub/Collateral/ENA1916-D.PDF","LCD Driver, 1/4 and 1/3 Duty, General-purpose","Pb-free","Active","LCD Driver, 1/4 and 1/3 Duty, General-purpose","1/3 Duty: 159
1/4 Duty: 208",,"4.5","6","VDD","VDD","VDD","-40 to  105",,,,,,,"Wafer"
"on","音频/视频的ASSP---LCD驱动器","LC75700T","LC75700T-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC75700T-MPB-E","http://www.onsemi.com/pub/Collateral/ENN7632-D.PDF","Key Scanning LSI","Pb-free","Active","Key Scanning LSI",,"30 (15)","2.7","5.5",,,"VDD","-40 to  85","4",,,,,,"TSSOP-20"
"on","音频/视频的ASSP---LCD驱动器","LC75700T","LC75700T-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC75700T-TLM-E","http://www.onsemi.com/pub/Collateral/ENN7632-D.PDF","Key Scanning LSI","Pb-free","Active","Key Scanning LSI",,"30 (15)","2.7","5.5",,,"VDD","-40 to  85","4",,,,,,"TSSOP-20"
"on","音频/视频的ASSP---LCD驱动器","LC75700T","LC75700TS-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC75700TS-MPB-E","http://www.onsemi.com/pub/Collateral/ENN7632-D.PDF","Key Scanning LSI","Pb-free","Active","Key Scanning LSI",,"30 (15)","2.7","5.5",,,"VDD","-40 to  85","4",,,,,,"TSSOP-20"
"on","音频/视频的ASSP---LCD驱动器","LC75700T","LC75700TS-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC75700TS-TLM-E","http://www.onsemi.com/pub/Collateral/ENN7632-D.PDF","Key Scanning LSI","Pb-free","Active","Key Scanning LSI",,"30 (15)","2.7","5.5",,,"VDD","-40 to  85","4",,,,,,"TSSOP-20"
"on","音频/视频的ASSP---LCD驱动器","LC75806PT","LC75806PT-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LC75806PT-H","http://www.onsemi.com/pub/Collateral/ENA1425-D.PDF","LCD Driver, 1/4 and 1/3 Duty, with Key Input","Pb-free
Halide free","Active","LCD Driver, 1/4 and 1/3 Duty, with Key Input","1/3 Duty: 225 (198) to 231 (204)
1/4 Duty: 296 (260) to 304 (268)","20 to 30","4.5","6","VDD","VDD","3.3 or 5.0","-40 to  85","9",,,"Yes","Yes",,"TQFP-100"
"on","音频/视频的ASSP---LCD驱动器","LC75809PTS-T","LC75809PTS-T-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LC75809PTS-T-H","http://www.onsemi.com/pub/Collateral/LC75809PTS-T-D.PDF","LCD Driver, 1/4 and 1/3 Duty, General-Purpose","Pb-free
Halide free","Active","LCD Driver, 1/4 and 1/3 Duty, General-Purpose","1/3 Duty: 267 (231)
1/4 Duty: 352 (304)",,"4.5","6.3","VDD","VDD","3.3 or 5.0","-40 to  105","12","6",,,"Yes",,"TQFP-100"
"on","音频/视频的ASSP---LCD驱动器","LC75810T","LC75810TS-8725-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC75810TS-8725-E","http://www.onsemi.com/pub/Collateral/ENN7141-D.PDF","Dot-Matrix LCD Controller/Driver, 1/8 to 1/10 Duty","Pb-free","Active","Dot-Matrix LCD Controller/Driver, 1/8 to 1/10 Duty","1/10 Duty: Dot matrix (5x9)x15+78
1/8 Duty: Dot matrix (5x7)x16+80
1/9 Duty: Dot matrix (5x8)x15+79",,"2.7","6","4.5","10","VDD","-40 to  85",,,"ROM 240; RAM 16",,"Yes","Yes","TQFP-100"
"on","音频/视频的ASSP---LCD驱动器","LC75813E","LC75813E-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC75813E-E","http://www.onsemi.com/pub/Collateral/ENN7159-D.PDF","LCD Driver, 1/3, 1/4 Duty, General-Purpose","Pb-free","Active","LCD Driver, 1/3, 1/4 Duty, General-Purpose","1/3 Duty: 261 (237)
1/4 Duty: 344 (312)",,"2.7","6","2.7","6","VDD","-40 to  85","8",,,,,,"PQFP-100 / QIP-100E"
"on","音频/视频的ASSP---LCD驱动器","LC75813E","LC75813ES-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC75813ES-E","http://www.onsemi.com/pub/Collateral/ENN7159-D.PDF","LCD Driver, 1/3, 1/4 Duty, General-Purpose","Pb-free","Active","LCD Driver, 1/3, 1/4 Duty, General-Purpose","1/3 Duty: 261 (237)
1/4 Duty: 344 (312)",,"2.7","6","2.7","6","VDD","-40 to  85","8",,,,,,"PQFP-100 / QIP-100E"
