"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Function","Control Type","fs Max (kHz)","Power Dissipation Max (mW)","Supply Voltage Min (V)","Supply Voltage Max (V)","Operating Temp Min (&#0176;C)","Operating Temp Max (&#0176;C)","Package Type"
"on","音频/视频的ASSP---音频专用标准产品(ASSP)","LA72910V","LA72910V-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LA72910V-TLM-H","http://www.onsemi.com/pub/Collateral/LA72910V-D.PDF","FM Modulator and Demodulator for Video Signals","Pb-free
Halide free","Active","FM Modulator and Demodulator for Video Signals",,,,,,,,,"SSOP-16"
"on","音频/视频的ASSP---音频专用标准产品(ASSP)","LA72914V","LA72914V-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LA72914V-TLM-H","http://www.onsemi.com/pub/Collateral/ENA1859-D.PDF","FM Modulator and Demodulator for Audio Signals","Pb-free
Halide free","Active","FM Modulator and Demodulator for Audio Signals",,,,,,,,,"SSOP-16"
"on","音频/视频的ASSP---音频专用标准产品(ASSP)","LC72720YV","LC72720YV-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC72720YV-TLM-E","http://www.onsemi.com/pub/Collateral/EN6488-D.PDF","RDS/RBDS Single-chip Signal Processor","Pb-free","Active","RDS/RBDS Single-chip Signal Processor","RDS/RBDS Signal Processer",,,"150","3","3.6","-40","85","SSOP-30"
"on","音频/视频的ASSP---音频专用标准产品(ASSP)","LC72722PM","LC72722PM-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC72722PM-TLM-E","http://www.onsemi.com/pub/Collateral/ENN6123-D.PDF","RDS/RBDS Single-chip Signal Processor","Pb-free","Active","RDS/RBDS Single-chip Signal Processor","RDS/RBDS Signal Processer",,,"100","3","5.5","-40","85","SOIC-24 W / MFP-24"
"on","音频/视频的ASSP---音频专用标准产品(ASSP)","LC72725KVS","LC72725KVS-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LC72725KVS-H","http://www.onsemi.com/pub/Collateral/LC72725KVS-D.PDF","RDS (RBDS) Demodulation IC","Pb-free
Halide free","Active","RDS (RBDS) Demodulation IC","RDS Demodulator",,,"100","3","5.5","-40","85","SSOP-16"
"on","音频/视频的ASSP---音频专用标准产品(ASSP)","LC78615E","LC78615E-01US-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LC78615E-01US-H","http://www.onsemi.com/pub/Collateral/LC78615E-D.PDF","Digital Servo Processor LSI for Compact Disc Player with integrated RF Amplifier","Pb-free
Halide free","Active","Digital Servo Processor LSI for Compact Disc Player with integrated RF Amplifier",,,,,"3","3.6","-40","85","PQFP-64 / QIP-64E"
"on","音频/视频的ASSP---音频专用标准产品(ASSP)","LC89057W-VF4A","LC89057W-VF4A-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LC89057W-VF4A-E","http://www.onsemi.com/pub/Collateral/EN7202-D.PDF","Digital Audio Interface Transceiver","Pb-free","Active","Digital Audio Interface Transceiver","S/PDIF Modulator/Demodulator","4-wire","195","140","3","3.6","-30","70","SPQFP-48 / SQFP-48"
"on","音频/视频的ASSP---音频专用标准产品(ASSP)","LC89075WA","LC89075WA-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LC89075WA-H","http://www.onsemi.com/pub/Collateral/ENA2170-D.PDF","Digital Audio Interface Receiver with Stereo ADC and Audio Selector","Pb-free
Halide free","Active","Digital Audio Interface Receiver with Stereo ADC and Audio Selector","S/PDIF Demodulator","SPI","195","400","4.5, 3.0","5.5, 3.6","-30","85","SPQFP-64 / SQFP-64"
"on","音频/视频的ASSP---音频专用标准产品(ASSP)","LV2241PQA","LV2241PQATXG","http://www.onsemi.cn/PowerSolutions/product.do?id=LV2241PQATXG","http://www.onsemi.com/pub/Collateral/LV2241PQA-D.PDF","FM Splitter IC for Car Infotainment System, FM Splitter IC for Car Infotainment System","Pb-free
Halide free","Active","FM Splitter IC for Car Infotainment System","Tuner","None","108000","580","4.5","5.5","-40","105","QFN-16"
"on","音频/视频的ASSP---音频专用标准产品(ASSP)","LV3319PM","LV3319PM-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LV3319PM-TLM-E","http://www.onsemi.com/pub/Collateral/ENA1703-D.PDF","Electronic Volume for Car Audio Systems","Pb-free","Active","Electronic Volume for Car Audio Systems","Electronic Volume","I2C",,"600","7","9.5","-40","85","PQFP-44 / QIP-44M"
"on","音频/视频的ASSP---音频专用标准产品(ASSP)","MC1496","MC1496DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC1496DG","http://www.onsemi.com/pub/Collateral/MC1496-D.PDF","Balanced Modulator and Demodulator","Pb-free
Halide free","Active","Balanced Modulator and Demodulator",,,,,,,,,"SOIC-14"
"on","音频/视频的ASSP---音频专用标准产品(ASSP)","MC1496","MC1496DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC1496DR2G","http://www.onsemi.com/pub/Collateral/MC1496-D.PDF","Balanced Modulator and Demodulator","Pb-free
Halide free","Active","Balanced Modulator and Demodulator",,,,,,,,,"SOIC-14"
