"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Number of Drivers","Vin Max (V)","VCC Max (V)","Drive Source/Sink Typ (mA)","Rise Time (ns)","Fall Time (ns)","tp Max (ns)","Package Type"
"on","驱动器---MOSFET/IGBT驱动器","ADP3110A","ADP3110AKCPZ-RL","http://www.onsemi.cn/PowerSolutions/product.do?id=ADP3110AKCPZ-RL","http://www.onsemi.com/pub/Collateral/ADP3110A-D.PDF","Dual Bootstrapped, 12 V MOSFET Driver","Pb-free
Halide free","Active","Dual Bootstrapped, 12 V MOSFET Driver","MOSFET","2","35","15","1000 / 1000","40","20","65","DFN-8
SOIC-8"
"on","驱动器---MOSFET/IGBT驱动器","ADP3110A","ADP3110AKRZ-RL","http://www.onsemi.cn/PowerSolutions/product.do?id=ADP3110AKRZ-RL","http://www.onsemi.com/pub/Collateral/ADP3110A-D.PDF","Dual Bootstrapped, 12 V MOSFET Driver","Pb-free
Halide free","Active","Dual Bootstrapped, 12 V MOSFET Driver","MOSFET","2","35","15","1000 / 1000","40","20","65","DFN-8
SOIC-8"
"on","驱动器---MOSFET/IGBT驱动器","ADP3611","ADP3611JRMZ-REEL","http://www.onsemi.cn/PowerSolutions/product.do?id=ADP3611JRMZ-REEL","http://www.onsemi.com/pub/Collateral/ADP3611-D.PDF","Dual Bootstrapped, High Voltage MOSFET Driver with Output Disable","Pb-free
Halide free","Active","Dual Bootstrapped, High Voltage MOSFET Driver with Output Disable","MOSFET","2",,"5.5",,,,"40","Micro10"
"on","驱动器---MOSFET/IGBT驱动器","MC33152","MC33152DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33152DG","http://www.onsemi.com/pub/Collateral/MC34152-D.PDF","MOSFET Driver, High Speed, Dual","PPAP Capable
Pb-free
Halide free","Active","MOSFET Driver, High Speed, Dual","MOSFET","2","18","18","1500 / 1500","14","15","120","PDIP-8
SOIC-8"
"on","驱动器---MOSFET/IGBT驱动器","MC33152","MC33152DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33152DR2G","http://www.onsemi.com/pub/Collateral/MC34152-D.PDF","MOSFET Driver, High Speed, Dual","PPAP Capable
Pb-free
Halide free","Active","MOSFET Driver, High Speed, Dual","MOSFET","2","18","18","1500 / 1500","14","15","120","PDIP-8
SOIC-8"
"on","驱动器---MOSFET/IGBT驱动器","MC33152","MC33152PG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33152PG","http://www.onsemi.com/pub/Collateral/MC34152-D.PDF","MOSFET Driver, High Speed, Dual","PPAP Capable
Pb-free
Halide free","Active","MOSFET Driver, High Speed, Dual","MOSFET","2","18","18","1500 / 1500","14","15","120","PDIP-8
SOIC-8"
"on","驱动器---MOSFET/IGBT驱动器","MC33152","MC33152VDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC33152VDR2G","http://www.onsemi.com/pub/Collateral/MC34152-D.PDF","MOSFET Driver, High Speed, Dual","PPAP Capable
Pb-free
Halide free","Active","MOSFET Driver, High Speed, Dual","MOSFET","2","18","18","1500 / 1500","14","15","120","PDIP-8
SOIC-8"
"on","驱动器---MOSFET/IGBT驱动器","MC33152","MC34152DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC34152DG","http://www.onsemi.com/pub/Collateral/MC34152-D.PDF","MOSFET Driver, High Speed, Dual","PPAP Capable
Pb-free
Halide free","Active","MOSFET Driver, High Speed, Dual","MOSFET","2","18","18","1500 / 1500","14","15","120","PDIP-8
SOIC-8"
"on","驱动器---MOSFET/IGBT驱动器","MC33152","MC34152DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC34152DR2G","http://www.onsemi.com/pub/Collateral/MC34152-D.PDF","MOSFET Driver, High Speed, Dual","PPAP Capable
Pb-free
Halide free","Active","MOSFET Driver, High Speed, Dual","MOSFET","2","18","18","1500 / 1500","14","15","120","PDIP-8
SOIC-8"
"on","驱动器---MOSFET/IGBT驱动器","MC33152","MC34152PG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC34152PG","http://www.onsemi.com/pub/Collateral/MC34152-D.PDF","MOSFET Driver, High Speed, Dual","PPAP Capable
Pb-free
Halide free","Active","MOSFET Driver, High Speed, Dual","MOSFET","2","18","18","1500 / 1500","14","15","120","PDIP-8
SOIC-8"
