"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","VM Min (V)","VM Max (V)","VCC Min (V)","VCC Max (V)","IO Max (A)","IO Peak Max (A)","Step Resolution","Control Type","Feedback Method","Current Sense","Regulator Output","Fault Detection","Flyback Protection","RDS(on) Typ (Ω)","Package Type"
"on","驱动器---电机驱动器","AMIS-30421","AMIS30421C4211RG","http://www.onsemi.cn/PowerSolutions/product.do?id=AMIS30421C4211RG","http://www.onsemi.com/pub/Collateral/AMIS-30421-D.PDF","Motor Pre-Driver, Microstepping Stepper, with Motor Bridge Control","Pb-free
Halide free","Active","Motor Pre-Driver, Microstepping Stepper, with Motor Bridge Control","Stepper","6","40",,,"10","10","1/64","SPI","Back EMF/Sensorless","External Resistor","Yes","Open Coil
Over-Current
Thermal
UVLO","Integrated Active",,"QFN-44"
"on","驱动器---电机驱动器","AMIS-30512","AMIS30512C5122RG","http://www.onsemi.cn/PowerSolutions/product.do?id=AMIS30512C5122RG","http://www.onsemi.com/pub/Collateral/AMIS30512-D.PDF","Microstepping Motor Driver","Pb-free
Halide free","Active","Microstepping Motor Driver","Stepper","6","40",,,"0.8","0.8","1/32","SPI","Back EMF/Sensorless","Fully Integrated","Yes","Open Coil
Over-Current
Thermal
UVLO","Integrated Active",,"SOIC-24"
"on","驱动器---电机驱动器","AMIS-30522","AMIS30522C5222RG","http://www.onsemi.cn/PowerSolutions/product.do?id=AMIS30522C5222RG","http://www.onsemi.com/pub/Collateral/AMIS-30522-D.PDF","Stepper Motor Driver with Comprehensive Diagnostic Feedback and SLA Output","Pb-free
Halide free","Active","Stepper Motor Driver with Comprehensive Diagnostic Feedback and SLA Output","Stepper","6","40",,,"1.6","1.6","1/32","SPI","Back EMF/Sensorless","Fully Integrated","Yes","Open Coil
Over-Current
Thermal
UVLO","Integrated Active",,"NQFP-32"
"on","驱动器---电机驱动器","AMIS-30543","AMIS30543C5431RG","http://www.onsemi.cn/PowerSolutions/product.do?id=AMIS30543C5431RG","http://www.onsemi.com/pub/Collateral/AMIS-30543-D.PDF","Microstepping Motor Driver","Pb-free
Halide free","Active","Microstepping Motor Driver","Stepper","6","40",,,"3","3","1/128","SPI","Back EMF/Sensorless","Fully Integrated","Yes","Open Coil
Over-Current
Thermal
UVLO","Integrated Active",,"QFN-32"
"on","驱动器---电机驱动器","AMIS-30622","AMIS30622C6227G","http://www.onsemi.cn/PowerSolutions/product.do?id=AMIS30622C6227G","http://www.onsemi.com/pub/Collateral/AMIS-30622-D.PDF","Stepper Motor Driver and Controller with I","Pb-free
Halide free","Active","Stepper Motor Driver and Controller with I<sup>2</sup>C Bus, Microstepping Features and Stall Detection","Stepper","6","40",,,"0.8","0.8","1/16","I2C","Back EMF/Sensorless","Fully Integrated","No","Open Coil
Over-Current
Thermal
UVLO","Integrated Active",,"NQFP-32
SOIC-20W"
"on","驱动器---电机驱动器","AMIS-30622","AMIS30622C6227RG","http://www.onsemi.cn/PowerSolutions/product.do?id=AMIS30622C6227RG","http://www.onsemi.com/pub/Collateral/AMIS-30622-D.PDF","Stepper Motor Driver and Controller with I","Pb-free
Halide free","Active","Stepper Motor Driver and Controller with I<sup>2</sup>C Bus, Microstepping Features and Stall Detection","Stepper","6","40",,,"0.8","0.8","1/16","I2C","Back EMF/Sensorless","Fully Integrated","No","Open Coil
Over-Current
Thermal
UVLO","Integrated Active",,"NQFP-32
SOIC-20W"
"on","驱动器---电机驱动器","AMIS-30622","AMIS30622C6228RG","http://www.onsemi.cn/PowerSolutions/product.do?id=AMIS30622C6228RG","http://www.onsemi.com/pub/Collateral/AMIS-30622-D.PDF","Stepper Motor Driver and Controller with I","Pb-free
Halide free","Active","Stepper Motor Driver and Controller with I<sup>2</sup>C Bus, Microstepping Features and Stall Detection","Stepper","6","40",,,"0.8","0.8","1/16","I2C","Back EMF/Sensorless","Fully Integrated","No","Open Coil
Over-Current
Thermal
UVLO","Integrated Active",,"NQFP-32
SOIC-20W"
"on","驱动器---电机驱动器","AMIS-30624","AMIS30624C6244G","http://www.onsemi.cn/PowerSolutions/product.do?id=AMIS30624C6244G","http://www.onsemi.com/pub/Collateral/AMIS-30624-D.PDF","Microstepping Motor Driver and Controller with I2C Bus and Stall Detection","Pb-free
Halide free","Active","Microstepping Motor Driver and Controller with I2C Bus and Stall Detection","Stepper","6","40",,,"0.8","0.8","1/16","I2C","Back EMF/Sensorless","Fully Integrated","No","Open Coil
Over-Current
Thermal
UVLO","Integrated Active",,"NQFP-32
SOIC-20W"
"on","驱动器---电机驱动器","AMIS-30624","AMIS30624C6244RG","http://www.onsemi.cn/PowerSolutions/product.do?id=AMIS30624C6244RG","http://www.onsemi.com/pub/Collateral/AMIS-30624-D.PDF","Microstepping Motor Driver and Controller with I2C Bus and Stall Detection","Pb-free
Halide free","Active","Microstepping Motor Driver and Controller with I2C Bus and Stall Detection","Stepper","6","40",,,"0.8","0.8","1/16","I2C","Back EMF/Sensorless","Fully Integrated","No","Open Coil
Over-Current
Thermal
UVLO","Integrated Active",,"NQFP-32
SOIC-20W"
"on","驱动器---电机驱动器","AMIS-30624","AMIS30624C6245RG","http://www.onsemi.cn/PowerSolutions/product.do?id=AMIS30624C6245RG","http://www.onsemi.com/pub/Collateral/AMIS-30624-D.PDF","Microstepping Motor Driver and Controller with I2C Bus and Stall Detection","Pb-free
Halide free","Active","Microstepping Motor Driver and Controller with I2C Bus and Stall Detection","Stepper","6","40",,,"0.8","0.8","1/16","I2C","Back EMF/Sensorless","Fully Integrated","No","Open Coil
Over-Current
Thermal
UVLO","Integrated Active",,"NQFP-32
SOIC-20W"
