"brand","Series","FileType","Title","Url"
NXP,MCU---Kinetis系列---Kinetis L系列（M0+，低功耗）---MKL4x（USB+分段式LCD）,配套软件,【配套工具】ADC Calculator,/UploadFiles\Freescale\Tools and Software\Serve Software/1_ADC_CALCULATOR_CNV.zip
NXP,MCU---Kinetis系列---Kinetis L系列（M0+，低功耗）---MKL4x（USB+分段式LCD）,配套软件,【配套软件】FreeMASTER,/UploadFiles\Freescale\Tools and Software\Serve Software/2_FreeMASTER.rar
NXP,MCU---Kinetis系列---Kinetis L系列（M0+，低功耗）---MKL4x（USB+分段式LCD）,配套软件,【配套软件】PROCESSOR Exper,/UploadFiles\Freescale\Tools and Software\Serve Software/3_PROCESSOR Exper.rar
NXP,MCU---Kinetis系列---Kinetis L系列（M0+，低功耗）---MKL4x（USB+分段式LCD）,技术应用文档,【AN4649】面向塔式开发平台的电源选项,/UploadFiles\Freescale\KinetisLSub-FamilyData\Kinetis KL4 Sub-Family Documentation\Kinetis KL4 Sub-Family Datasheet\10_AN4649.pdf
NXP,MCU---Kinetis系列---Kinetis L系列（M0+，低功耗）---MKL4x（USB+分段式LCD）,技术应用文档,【AN2295】开发人员的串行引导加载程序,/UploadFiles\Freescale\KinetisLSub-FamilyData\Kinetis KL4 Sub-Family Documentation\Kinetis KL4 Sub-Family Datasheet/1_AN2295.pdf
NXP,MCU---Kinetis系列---Kinetis L系列（M0+，低功耗）---MKL4x（USB+分段式LCD）,技术应用文档,【AN4662】S08至Kinetis L系列MCU迁移指南,/UploadFiles\Freescale\KinetisLSub-FamilyData\Kinetis KL4 Sub-Family Documentation\Kinetis KL4 Sub-Family Datasheet/9_AN4662.pdf
NXP,MCU---Kinetis系列---Kinetis L系列（M0+，低功耗）---MKL4x（USB+分段式LCD）,技术应用文档,【AN4665】如何使用飞思卡尔USB协议栈来设置音频类设备,/UploadFiles\Freescale\KinetisLSub-FamilyData\Kinetis KL4 Sub-Family Documentation\Kinetis KL4 Sub-Family Datasheet/14_AN4665.pdf
NXP,MCU---Kinetis系列---Kinetis L系列（M0+，低功耗）---MKL4x（USB+分段式LCD）,技术应用文档,【AN4652】基于中断和阻塞机制的MQX I2C驱动程序,/UploadFiles\Freescale\KinetisLSub-FamilyData\Kinetis KL4 Sub-Family Documentation\Kinetis KL4 Sub-Family Datasheet/7_AN4652.pdf
NXP,MCU---Kinetis系列---Kinetis L系列（M0+，低功耗）---MKL4x（USB+分段式LCD）,技术应用文档,【AN4655】Kinetis L MCU上的I2C引导加载程序设计,/UploadFiles\Freescale\KinetisLSub-FamilyData\Kinetis KL4 Sub-Family Documentation\Kinetis KL4 Sub-Family Datasheet/8_AN4655.pdf
NXP,MCU---Kinetis系列---Kinetis L系列（M0+，低功耗）---MKL4x（USB+分段式LCD）,技术应用文档,【AN4368】USB大容量存储设备(MSD)主机引导加载程序,/UploadFiles\Freescale\KinetisLSub-FamilyData\Kinetis KL4 Sub-Family Documentation\Kinetis KL4 Sub-Family Datasheet/15_AN4368.pdf
NXP,MCU---Kinetis系列---Kinetis L系列（M0+，低功耗）---MKL4x（USB+分段式LCD）,技术应用文档,【AN4631】使用Kinetis L系列的异步DMA特性,/UploadFiles\Freescale\KinetisLSub-FamilyData\Kinetis KL4 Sub-Family Documentation\Kinetis KL4 Sub-Family Datasheet/11_AN4631.pdf
NXP,MCU---Kinetis系列---Kinetis L系列（M0+，低功耗）---MKL4x（USB+分段式LCD）,技术应用文档,【AN4637】使用GPIO方法在Kinetis L上集成触摸感应软件,/UploadFiles\Freescale\KinetisLSub-FamilyData\Kinetis KL4 Sub-Family Documentation\Kinetis KL4 Sub-Family Datasheet/6_AN4637.pdf
